attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,BCQLFFHA,0.003076923,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,HLBP_GOOGLEWEB,0.03529412,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSCRS5,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ROCKHOMESQL,0.01010101,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LOLAMAN,0.17707074,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELODIRE,0.16049382,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RLHAP,0.06732788,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,HLBPAC,0.093294464,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RLAPPPUR,0.06818182,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,SCREWRITE,0.018548828,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FSBODCQL,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ACAUTO,0.08572458,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,DCMF,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ABCBLF,0.017006803,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARICTEQX,0.018208683,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FHLMCCHARP,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,MRWDSAC,0.083333336,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOAMER,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOJJSI,0.08108108,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARISVCRP3,0.033333335,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOMARS,0.11111111,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CRWTPAYOFFP,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,HOQL,0.002770083,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ROCKTESTREFIAH,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,EXPPALRES,0.001939864,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,HOQL1,0.001067236,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELORECN,0.055555556,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RPSF,0.16092943,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ABCBLFAH,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARISVCRP2,0.029411765,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,IHRARFDT,0.125,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PRECOVERYP,0.01055409,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LTQLHE2,0.006462036,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLTESTVENDOR,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ARCLWEB,1,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSMOVRCONCO,0.027105294,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSMVRCNRT14,0.019932015,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PAYOFFORWCR,0.015267176,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOALTA,0.082706764,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOEPA,0.11111111,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,carictsvc,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,TLNQLR,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ABCBLP,0.01010101,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSWEBVAST,0.043010753,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CHATBLP,0.002320186,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLDRLP,0.018112913,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLEOO90,0.019064125,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LCQLRM,0.008667389,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ACDC,0.21929824,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,IHRASSBK,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,IHRBBAC,0.007858546,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLCOLLFO,0.07697642,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,GSLTH,0.009057622,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOANT,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CADMANUAL,0.14357367,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,NMQLF,0.003367003,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PAYOFFHSVRMSA,0.00777332,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RSNIRVANAREFI5,0.007614478,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,REMKTSVPRECOVR,0.003604295,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ARREMAX,0.03125,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LMBLPV3,0.020403871,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ROCKCARIRAH,0.03448276,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,AQALLYCTEQX,0.001992032,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSMOVRVACO,0.013513514,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSOO6,0.004310345,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RPSFRAC,0.06666667,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIDMOMR,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLTESTVendor,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSWEBVART,0.029354207,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CRWTSCP,0.021997621,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,GSLTHELTV,0.005338809,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ASSUMP,0.1,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CONORM,0.14285715,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PTQLE,0.007585335,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ARCENTURY,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOSOD,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LTQLCRA,0.03630966,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOEVON,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,AVAIL,0.07265166,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,GSQLF,0.003033367,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PAYOFFCPWIVR,0.007475813,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLREFERRAL,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOBROOK,0.09565217,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RGQLE,0.005066498,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELORGNR,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLCDF,0.08454811,LTC_close_rate,2/23/20,5/23/20
