attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,jmgreferpurch,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ptql,0.004970778,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acschwab,0.09677419,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,fhlmccharp,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoo8,0.0054417658,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlr2nd,0.098657325,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ptqle,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relocap,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloniss,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relorepub,0.10526316,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acp313radio,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,bkqlrtr,0.023094045,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,svcemail,0.18983051,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,caridswebp1,0.01416613,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carilivpurch,0.115384616,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlpe2,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlcra,0.07732226,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloatt,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rpltb,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carictdmxmmap,0.010869565,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rmrealtorgood,0.0040332587,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirslgcy,0.07914641,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloepa,0.125,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rgqlfha,0.005830904,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rktlnappsvc,0.08271452,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,dilioqlhla,0.005196345,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoo5,0.047127053,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,schwabivap,0.09049774,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acrcpcnr,0.007633588,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,crwtpayoffp,0.017857144,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoo4,0.004695794,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,nmql,0.0033047798,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ogaman,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relodire,0.14473684,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relolexi,0.13229571,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloorm,0.18604651,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,gsltheltv,0.0071407612,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carisvcrp4,0.3188406,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlpll,0.0015970042,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,payoffcpvrmsa,0.006119951,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,qsql2,0.0049751243,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relopuri,0.375,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,scquiklyaug21,0.048879445,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlsoo1,0.008025193,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acgoadcon,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirssilk,0.0038700968,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,chatblpah,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,hlbp_mrwds,0.035326086,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,payoffhsvrmsa,0.0067895246,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relonri,0.2682927,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rshelios2,0.008728179,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirsmovrfhapp,0.06666667,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relopool,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rsnirvanarefibb,0.0066172048,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lgql,0.007710144,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relonfs,0.06896552,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloowens,0.33333334,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acautoa,0.19979542,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,hlbp_pwc,0.046511628,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoo6,0.012389713,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relocsx,0.3611111,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,zingrhr,0.014195584,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,cadmbflip,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,frqlbe,0.048939843,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relowest,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rockcarirefi,0.11485965,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rpgene,0.2777778,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,dcrf,0.14360313,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,dcrt,0.38615847,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,fsbodcql,0.005291005,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,phquiklyjul21,0.03225215,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloproc,0.21153846,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,chatblfah,0.0057142857,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,clyoakac,0.26530612,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,dilioqlfc,0.0026737968,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,nmqllow,0.00608828,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,payoffhsvivr,0.002092853,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ptqlp,0.009255831,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rplte,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rppru,0.5714286,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,nmqlco,0.0034977114,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ctnc90,0.0043751607,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoof,0.022035677,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirshrpubi,0.02723059,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,jmgreferrefi,0.06896552,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rsprepurch,0.0014431775,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,asqlr,0.0070903725,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,chatblp,0.02739726,LTC_close_rate,2021-06-12,2021-09-12
adproperty_parsed,DMC,0.17391305,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,RBA,0.15093803,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,INV,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,MIM,0.058577407,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,RBD,0.12689881,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,THV,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,AMA,0.006849315,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,SRT,0.036697246,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,MRC,0.044444446,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,AMM,0.0042060986,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,BMA,0.024305556,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,IGS,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,REA,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,SPF,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,CKR,0.054472007,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,QRD,0.10690076,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,RHC,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,RTA,0.016475644,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,BIM,0.029767312,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,DBM,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,DMT,0.023212628,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,GBM,0.05945409,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,RMB,0.14468743,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,SNL,0.12261905,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,MMO,0.010402533,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,GRD,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,WBP,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,RSL,0.074257426,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,ENL,0.06911263,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,INM,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,BBM,0.0,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,MLF,0.055855855,adproperty_close_rate,2021-06-12,2021-09-12
adproperty_parsed,RBP,0.071519695,adproperty_close_rate,2021-06-12,2021-09-12
State,MN,0.0340727,state_close_rate,2021-06-12,2021-09-12
State,NJ,0.03328078,state_close_rate,2021-06-12,2021-09-12
State,OR,0.03749546,state_close_rate,2021-06-12,2021-09-12
State,KY,0.02670854,state_close_rate,2021-06-12,2021-09-12
State,WY,0.033839285,state_close_rate,2021-06-12,2021-09-12
State,NH,0.03508537,state_close_rate,2021-06-12,2021-09-12
State,NC,0.037335753,state_close_rate,2021-06-12,2021-09-12
State,MD,0.040349733,state_close_rate,2021-06-12,2021-09-12
State,DE,0.02429402,state_close_rate,2021-06-12,2021-09-12
State,ME,0.026242087,state_close_rate,2021-06-12,2021-09-12
State,MS,0.02319327,state_close_rate,2021-06-12,2021-09-12
State,OH,0.02969286,state_close_rate,2021-06-12,2021-09-12
State,TN,0.03372143,state_close_rate,2021-06-12,2021-09-12
State,NY,0.024109699,state_close_rate,2021-06-12,2021-09-12
State,KS,0.030466707,state_close_rate,2021-06-12,2021-09-12
State,AR,0.027696088,state_close_rate,2021-06-12,2021-09-12
State,UT,0.05310202,state_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rsnirvanaco2,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlex,0.016129032,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,nmqle,0.004760771,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ptqlhe,0.009345794,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rpsfb,0.0038314175,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,qltestvendor,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relmihrpur,0.0028915664,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relobgen,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,fbqls,0.006546509,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoo9,0.008080808,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relopro,0.18181819,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,hgtvtest,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ihrbbdt,0.004651163,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoo2,0.013846534,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,pscalmblpv3,0.0108252205,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relocri,1.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acautopur,0.081443526,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlscrs3,0.0013327062,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,payofforvivr,0.039780956,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,brqln,0.0036942968,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirshrfhapp,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlvap,0.0,LTC_close_rate,2021-06-12,2021-09-12
