attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,caripwrpckv1,0.12676056,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirscod20,0.06399148,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirsmovrvart,0.082905985,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqleoo7,0.008785333,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relostfe,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ltqlhe,0.011256984,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqlscrs1,0.003920127,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,mrcqlr,0.021144278,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rlman,0.2524272,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carilivrefi,0.0952381,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqleoo90,0.06625259,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lcqlbsrs,0.018181818,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,qltestwebsite,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqlscre3,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relocast,0.16666667,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirshrcrv,0.01938944,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqlrefily,0.01111537,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqlscre2,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lcqllars,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rockcaripah,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rocktestrefiac,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,avail,0.10094232,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,accpdmr,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,payofforwivr,0.011653314,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirscod30pls,0.058086306,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirsmovrfhast,0.06736842,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,fbqlva,0.11363637,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,msrsvcsv,0.043613706,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,payoffovcr,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,acautob,0.0942813,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carisvcsvnc,0.01294964,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,frqllow,0.01983881,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ltqlp2nd,0.005500651,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,reloccom,0.09090909,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rmamexman,0.25,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,dilioqlfchl,0.002034588,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,phquiklyiframe,0.023093447,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,caqlr,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ltqlx1,0.008390826,LTC_close_rate,2021-06-26,2021-09-26
